ims_id,TRX_Qty,trgt_flg,cal_dt
1832580,36.49,Y,8/1/2012 0:00
1832580,207.97,Y,9/1/2012 0:00
1832580,0,Y,10/1/2012 0:00
1832580,0,Y,11/1/2012 0:00
1832580,212.4,Y,12/1/2012 0:00
1856393,74.58,N,1/1/2012 0:00
1856393,76.44,N,2/1/2012 0:00
1856393,62.88,N,3/1/2012 0:00
1856393,81.36,N,4/1/2012 0:00
1856393,86.57,N,5/1/2012 0:00
1856393,148.86,N,6/1/2012 0:00
1856393,208.31,N,7/1/2012 0:00
1856393,140.52,N,8/1/2012 0:00
1856393,77.04,N,9/1/2012 0:00
1856393,75.62,N,10/1/2012 0:00
1856393,73.72,N,11/1/2012 0:00
1856393,131.61,N,12/1/2012 0:00
1858620,66.17,Y,1/1/2012 0:00
1858620,152.15,Y,2/1/2012 0:00
1858620,223.75,Y,3/1/2012 0:00
1858620,156.47,Y,4/1/2012 0:00
1858620,67.94,Y,6/1/2012 0:00
1858620,68.84,Y,7/1/2012 0:00
1858620,126.06,Y,8/1/2012 0:00
1858620,64.28,Y,9/1/2012 0:00
1858620,65.87,Y,10/1/2012 0:00
1858620,65.49,Y,11/1/2012 0:00
1858620,0,Y,12/1/2012 0:00
1859168,64.11,N,1/1/2012 0:00
1859168,121.56,N,2/1/2012 0:00
1859168,65.36,N,5/1/2012 0:00
1859168,0,N,9/1/2012 0:00
1859168,67.61,N,10/1/2012 0:00
1859168,66.92,N,11/1/2012 0:00
1859168,66.32,N,12/1/2012 0:00
1904846,69.28,N,6/1/2012 0:00
1904846,102.13,N,7/1/2012 0:00
1904846,100,N,9/1/2012 0:00
1904846,96.65,N,10/1/2012 0:00
1904846,0,N,11/1/2012 0:00
1904846,0,N,12/1/2012 0:00
1905022,100.64,N,3/1/2012 0:00
1907412,70.44,Y,2/1/2012 0:00
1907412,75.71,Y,4/1/2012 0:00
1907412,80.76,Y,6/1/2012 0:00
1907412,0,Y,9/1/2012 0:00
1907412,72.11,Y,10/1/2012 0:00
1907412,0,Y,11/1/2012 0:00
1907412,75.69,Y,12/1/2012 0:00
1915754,218.58,N,1/1/2012 0:00
1915754,118.33,N,2/1/2012 0:00
1915754,115.46,N,4/1/2012 0:00
1915754,115.47,N,8/1/2012 0:00
1915754,0,N,9/1/2012 0:00
1915754,116.24,N,10/1/2012 0:00
1915754,107.16,N,11/1/2012 0:00
1915754,0,N,12/1/2012 0:00
1889093,0,N,9/1/2012 0:00
